nohup: ignoring input
==== Fragmentomics pipeline started ====


===== RUNNING BIN SIZE 10000 =====

[BIN 10000 | 00_preprocessing_exploration.py] START
Configuration loaded for 262 samples:
['EE87789', 'EE87790', 'EE87791', 'EE87792', 'EE87793', 'EE87794', 'EE87795', 'EE87796', 'EE87797', 'EE87798', 'EE87799', 'EE87800', 'EE87801', 'EE87802', 'EE87803', 'EE87804', 'EE87805', 'EE87806', 'EE87807', 'EE87809', 'EE87810', 'EE88325', 'EE85727', 'EE85730', 'EE85731', 'EE85732', 'EE85733', 'EE85734', 'EE85737', 'EE85739', 'EE85741', 'EE85743', 'EE85746', 'EE85749', 'EE85750', 'EE85752', 'EE85753', 'EE86234', 'EE86255', 'EE86259', 'EE87865', 'EE87866', 'EE87867', 'EE87868', 'EE87869', 'EE87870', 'EE87871', 'EE87872', 'EE87873', 'EE87874', 'EE87875', 'EE87876', 'EE87877', 'EE87878', 'EE87879', 'EE87880', 'EE87881', 'EE87882', 'EE87883', 'EE87884', 'EE87885', 'EE87886', 'EE87887', 'EE87888', 'EE87889', 'EE87890', 'EE87891', 'EE87896', 'EE87897', 'EE87898', 'EE87899', 'EE87900', 'EE87901', 'EE87902', 'EE87903', 'EE87904', 'EE87905', 'EE87906', 'EE87907', 'EE87908', 'EE87909', 'EE87910', 'EE87911', 'EE87912', 'EE87913', 'EE87914', 'EE87915', 'EE87916', 'EE87917', 'EE87918', 'EE87919', 'EE86268', 'EE86270', 'EE86271', 'EE86272', 'EE86273', 'EE88290', 'EE88291', 'EE88292', 'EE88293', 'EE88294', 'EE88295', 'EE88296', 'EE88297', 'EE88298', 'EE88299', 'EE88300', 'EE88301', 'EE88302', 'EE88303', 'EE88304', 'EE88305', 'EE88306', 'EE88307', 'EE88308', 'EE88309', 'EE88310', 'EE88311', 'EE88312', 'EE88313', 'EE88314', 'EE88315', 'EE88316', 'EE88317', 'EE88318', 'EE88319', 'EE88320', 'EE88321', 'EE88322', 'EE88323', 'EE88324', 'EE85898', 'EE85904', 'EE85905', 'EE85908', 'EE85918', 'EE85928', 'EE85936', 'EE85937', 'EE85941', 'EE85959', 'EE85963', 'EE85970', 'EE85971', 'EE85980', 'EE85985', 'EE85987', 'EE85988', 'EE86275', 'EE86276', 'EE87945', 'EE87946', 'EE87920', 'EE87921', 'EE87922', 'EE87923', 'EE87924', 'EE87925', 'EE87926', 'EE87927', 'EE87928', 'EE87929', 'EE87931', 'EE87932', 'EE87933', 'EE87934', 'EE87935', 'EE87936', 'EE87937', 'EE87938', 'EE87939', 'EE87940', 'EE87941', 'EE87942', 'EE87943', 'EE87944', 'EE87947', 'EE87948', 'EE87949', 'EE87950', 'EE87951', 'EE87952', 'EE87953', 'EE87954', 'EE87955', 'EE87956', 'EE87957', 'EE87958', 'EE87959', 'EE87960', 'EE87961', 'EE87962', 'EE87963', 'EE87964', 'EE87965', 'EE87966', 'EE87967', 'EE87968', 'EE87969', 'EE87970', 'EE87971', 'EE87972', 'EE87973', 'EE87974', 'EE87975', 'EE87976', 'EE87977', 'EE87978', 'EE87979', 'EE87980', 'EE87981', 'EE87982', 'EE87983', 'EE87984', 'EE87985', 'EE87986', 'EE87987', 'EE87988', 'EE87989', 'EE87990', 'EE87991', 'EE87992', 'EE87993', 'EE87994', 'EE87995', 'EE87996', 'EE87997', 'EE87998', 'EE87999', 'EE88000', 'EE88001', 'EE88002', 'EE88003', 'EE88004', 'EE88005', 'EE88006', 'EE88007', 'EE88008', 'EE88009', 'EE88010', 'EE88011', 'EE88012', 'EE88013', 'EE88014', 'EE88015', 'EE88016', 'EE88017', 'EE88018', 'EE88019', 'EE88020', 'EE88021', 'EE88022', 'EE88023', 'EE88024', 'EE88025', 'EE88026', 'EE88027', 'EE88028', 'EE88029', 'EE88030', 'EE88031', 'EE88032']
Creating new binned dataframe with bin size 10000...
Loaded and binned EE87901. Rows: 26110000 -> 4936
Loaded and binned EE87902. Rows: 26110000 -> 4936
Loaded and binned EE87903. Rows: 26110000 -> 4936
Loaded and binned EE87904. Rows: 26110000 -> 4936
Loaded and binned EE87905. Rows: 26110000 -> 4936
Loaded and binned EE87906. Rows: 26110000 -> 4936
Loaded and binned EE87907. Rows: 26110000 -> 4936
Loaded and binned EE87908. Rows: 26110000 -> 4936
Loaded and binned EE87909. Rows: 26110000 -> 4936
Loaded and binned EE87910. Rows: 26110000 -> 4936
Loaded and binned EE87911. Rows: 26110000 -> 4936
Loaded and binned EE87912. Rows: 26110000 -> 4936
Loaded and binned EE87913. Rows: 26110000 -> 4936
Loaded and binned EE87914. Rows: 26110000 -> 4936
Loaded and binned EE87915. Rows: 26110000 -> 4936
Loaded and binned EE87916. Rows: 26110000 -> 4936
Loaded and binned EE87917. Rows: 26110000 -> 4936
Loaded and binned EE87918. Rows: 26110000 -> 4936
Loaded and binned EE87919. Rows: 26110000 -> 4936
Loaded and binned EE86268. Rows: 26110000 -> 4936
Loaded and binned EE86270. Rows: 26110000 -> 4936
Loaded and binned EE86271. Rows: 26110000 -> 4936
Loaded and binned EE86272. Rows: 26110000 -> 4936
Loaded and binned EE86273. Rows: 26110000 -> 4936
Loaded and binned EE88290. Rows: 26110000 -> 4936
Loaded and binned EE88291. Rows: 26110000 -> 4936
Loaded and binned EE88292. Rows: 26110000 -> 4936
Loaded and binned EE88293. Rows: 26110000 -> 4936
Loaded and binned EE88294. Rows: 26110000 -> 4936
Loaded and binned EE88295. Rows: 26110000 -> 4936
Loaded and binned EE88296. Rows: 26110000 -> 4936
Loaded and binned EE88297. Rows: 26110000 -> 4936
Loaded and binned EE88298. Rows: 26110000 -> 4936
Loaded and binned EE88299. Rows: 26110000 -> 4936
Loaded and binned EE88300. Rows: 26110000 -> 4936
Loaded and binned EE88301. Rows: 26110000 -> 4936
Loaded and binned EE88302. Rows: 26110000 -> 4936
Loaded and binned EE88303. Rows: 26110000 -> 4936
Loaded and binned EE88304. Rows: 26110000 -> 4936
Loaded and binned EE88305. Rows: 26110000 -> 4936
Loaded and binned EE88306. Rows: 26110000 -> 4936
Loaded and binned EE88307. Rows: 26110000 -> 4936
Loaded and binned EE88308. Rows: 26110000 -> 4936
Loaded and binned EE88309. Rows: 26110000 -> 4936
Loaded and binned EE88310. Rows: 26110000 -> 4936
Loaded and binned EE88311. Rows: 26110000 -> 4936
Loaded and binned EE88312. Rows: 26110000 -> 4936
Loaded and binned EE88313. Rows: 26110000 -> 4936
Loaded and binned EE88314. Rows: 26110000 -> 4936
Loaded and binned EE88315. Rows: 26110000 -> 4936
Loaded and binned EE88316. Rows: 26110000 -> 4936
Loaded and binned EE88317. Rows: 26110000 -> 4936
Loaded and binned EE88318. Rows: 26110000 -> 4936
Loaded and binned EE88319. Rows: 26110000 -> 4936
Loaded and binned EE88320. Rows: 26110000 -> 4936
Loaded and binned EE88321. Rows: 26110000 -> 4936
Loaded and binned EE88322. Rows: 26110000 -> 4936
Loaded and binned EE88323. Rows: 26110000 -> 4936
Loaded and binned EE88324. Rows: 26110000 -> 4936
Loaded and binned EE85898. Rows: 26110000 -> 4936
Loaded and binned EE85904. Rows: 26110000 -> 4936
Loaded and binned EE85905. Rows: 26110000 -> 4936
Loaded and binned EE85908. Rows: 26110000 -> 4936
Loaded and binned EE85918. Rows: 26110000 -> 4936
Loaded and binned EE85928. Rows: 26110000 -> 4936
Loaded and binned EE85936. Rows: 26110000 -> 4936
Loaded and binned EE85937. Rows: 26110000 -> 4936
Loaded and binned EE85941. Rows: 26110000 -> 4936
Loaded and binned EE85959. Rows: 26110000 -> 4936
Loaded and binned EE85963. Rows: 26110000 -> 4936
Loaded and binned EE85970. Rows: 26110000 -> 4936
Loaded and binned EE85971. Rows: 26110000 -> 4936
Loaded and binned EE85980. Rows: 26110000 -> 4936
Loaded and binned EE85985. Rows: 26110000 -> 4936
Loaded and binned EE85987. Rows: 26110000 -> 4936
Loaded and binned EE85988. Rows: 26110000 -> 4936
Loaded and binned EE86275. Rows: 26110000 -> 4936
Loaded and binned EE86276. Rows: 26110000 -> 4936
Loaded and binned EE87945. Rows: 26110000 -> 4936
Loaded and binned EE87946. Rows: 26110000 -> 4936
Loaded and binned EE87920. Rows: 26110000 -> 4936
Loaded and binned EE87921. Rows: 26110000 -> 4936
Loaded and binned EE87922. Rows: 26110000 -> 4936
Loaded and binned EE87923. Rows: 26110000 -> 4936
Loaded and binned EE87924. Rows: 26110000 -> 4936
Loaded and binned EE87925. Rows: 26110000 -> 4936
Loaded and binned EE87926. Rows: 26110000 -> 4936
Loaded and binned EE87927. Rows: 26110000 -> 4936
Loaded and binned EE87928. Rows: 26110000 -> 4936
Loaded and binned EE87929. Rows: 26110000 -> 4936
Loaded and binned EE87931. Rows: 26110000 -> 4936
Loaded and binned EE87932. Rows: 26110000 -> 4936
Loaded and binned EE87933. Rows: 26110000 -> 4936
Loaded and binned EE87934. Rows: 26110000 -> 4936
Loaded and binned EE87935. Rows: 26110000 -> 4936
Loaded and binned EE87936. Rows: 26110000 -> 4936
Loaded and binned EE87937. Rows: 26110000 -> 4936
Loaded and binned EE87938. Rows: 26110000 -> 4936
Loaded and binned EE87939. Rows: 26110000 -> 4936
Loaded and binned EE87940. Rows: 26110000 -> 4936
Loaded and binned EE87941. Rows: 26110000 -> 4936
Loaded and binned EE87942. Rows: 26110000 -> 4936
Loaded and binned EE87943. Rows: 26110000 -> 4936
Loaded and binned EE87944. Rows: 26110000 -> 4936
Loaded and binned EE87947. Rows: 26110000 -> 4936
Loaded and binned EE87948. Rows: 26110000 -> 4936
Loaded and binned EE87949. Rows: 26110000 -> 4936
Loaded and binned EE87950. Rows: 26110000 -> 4936
Loaded and binned EE87951. Rows: 26110000 -> 4936
Loaded and binned EE87952. Rows: 26110000 -> 4936
Loaded and binned EE87953. Rows: 26110000 -> 4936
Loaded and binned EE87954. Rows: 26110000 -> 4936
Loaded and binned EE87955. Rows: 26110000 -> 4936
Loaded and binned EE87956. Rows: 26110000 -> 4936
Loaded and binned EE87957. Rows: 26110000 -> 4936
Loaded and binned EE87958. Rows: 26110000 -> 4936
Loaded and binned EE87959. Rows: 26110000 -> 4936
Loaded and binned EE87960. Rows: 26110000 -> 4936
Loaded and binned EE87961. Rows: 26110000 -> 4936
Loaded and binned EE87962. Rows: 26110000 -> 4936
Loaded and binned EE87963. Rows: 26110000 -> 4936
Loaded and binned EE87964. Rows: 26110000 -> 4936
Loaded and binned EE87965. Rows: 26110000 -> 4936
Loaded and binned EE87966. Rows: 26110000 -> 4936
Loaded and binned EE87967. Rows: 26110000 -> 4936
Loaded and binned EE87968. Rows: 26110000 -> 4936
Loaded and binned EE87969. Rows: 26110000 -> 4936
Loaded and binned EE87970. Rows: 26110000 -> 4936
Loaded and binned EE87971. Rows: 26110000 -> 4936
Loaded and binned EE87972. Rows: 26110000 -> 4936
Loaded and binned EE87973. Rows: 26110000 -> 4936
Loaded and binned EE87974. Rows: 26110000 -> 4936
Loaded and binned EE87975. Rows: 26110000 -> 4936
Loaded and binned EE87976. Rows: 26110000 -> 4936
Loaded and binned EE87977. Rows: 26110000 -> 4936
Loaded and binned EE87978. Rows: 26110000 -> 4936
Loaded and binned EE87979. Rows: 26110000 -> 4936
Loaded and binned EE87980. Rows: 26110000 -> 4936
Loaded and binned EE87981. Rows: 26110000 -> 4936
Loaded and binned EE87982. Rows: 26110000 -> 4936
Loaded and binned EE87983. Rows: 26110000 -> 4936
Loaded and binned EE87984. Rows: 26110000 -> 4936
Loaded and binned EE87985. Rows: 26110000 -> 4936
Loaded and binned EE87986. Rows: 26110000 -> 4936
Loaded and binned EE87987. Rows: 26110000 -> 4936
Loaded and binned EE87988. Rows: 26110000 -> 4936
Loaded and binned EE87989. Rows: 26110000 -> 4936
Loaded and binned EE87990. Rows: 26110000 -> 4936
Loaded and binned EE87991. Rows: 26110000 -> 4936
Loaded and binned EE87992. Rows: 26110000 -> 4936
Loaded and binned EE87993. Rows: 26110000 -> 4936
Loaded and binned EE87994. Rows: 26110000 -> 4936
Loaded and binned EE87995. Rows: 26110000 -> 4936
Loaded and binned EE87996. Rows: 26110000 -> 4936
Loaded and binned EE87997. Rows: 26110000 -> 4936
Loaded and binned EE87998. Rows: 26110000 -> 4936
Loaded and binned EE87999. Rows: 26110000 -> 4936
Loaded and binned EE88000. Rows: 26110000 -> 4936
Loaded and binned EE88001. Rows: 26110000 -> 4936
Loaded and binned EE88002. Rows: 26110000 -> 4936
Loaded and binned EE88003. Rows: 26110000 -> 4936
Loaded and binned EE88004. Rows: 26110000 -> 4936
Loaded and binned EE88005. Rows: 26110000 -> 4936
Loaded and binned EE88006. Rows: 26110000 -> 4936
Loaded and binned EE88007. Rows: 26110000 -> 4936
Loaded and binned EE88008. Rows: 26110000 -> 4936
Loaded and binned EE88009. Rows: 26110000 -> 4936
Loaded and binned EE88010. Rows: 26110000 -> 4936
Loaded and binned EE88011. Rows: 26110000 -> 4936
Loaded and binned EE88012. Rows: 26110000 -> 4936
Loaded and binned EE88013. Rows: 26110000 -> 4936
Loaded and binned EE88014. Rows: 26110000 -> 4936
Loaded and binned EE88015. Rows: 26110000 -> 4936
Loaded and binned EE88016. Rows: 26110000 -> 4936
Loaded and binned EE88017. Rows: 26110000 -> 4936
Loaded and binned EE88018. Rows: 26110000 -> 4936
Loaded and binned EE88019. Rows: 26110000 -> 4936
Loaded and binned EE88020. Rows: 26110000 -> 4936
Loaded and binned EE88021. Rows: 26110000 -> 4936
Loaded and binned EE88022. Rows: 26110000 -> 4936
Loaded and binned EE88023. Rows: 26110000 -> 4936
Loaded and binned EE88024. Rows: 26110000 -> 4936
Loaded and binned EE88025. Rows: 26110000 -> 4936
Loaded and binned EE88026. Rows: 26110000 -> 4936
Loaded and binned EE88027. Rows: 26110000 -> 4936
Loaded and binned EE88028. Rows: 26110000 -> 4936
Loaded and binned EE88029. Rows: 26110000 -> 4936
Loaded and binned EE88030. Rows: 26110000 -> 4936
Loaded and binned EE88031. Rows: 26110000 -> 4936
Loaded and binned EE88032. Rows: 26110000 -> 4936
Data successfully loaded and binned. Total rows: 1288296
Number of NaN values before imputation: 0
No NaN values found. Skipping imputation.
Saved binned dataframe to /labmed/workspace/lotta/finaletoolkit/dataframes_for_ba/binned_combined_df_10000.parquet
Loading existing binned combined dataframe...
         chr10_bin_10097  chr10_bin_10098  ...  chr9_bin_9982       group
sample                                     ...                           
EE85727        -0.410800          -0.3100  ...       0.000000  colorectal
EE85730        -0.005467          -0.3104  ...      -0.078573  colorectal
EE85732        -0.370255          -0.5836  ...      -0.341000  colorectal
EE85733        -0.134600          -0.0998  ...       0.000000  colorectal
EE85734        -0.153000          -0.1414  ...       0.000000  colorectal

[5 rows x 4937 columns]
  chrom    start     stop name  ...    max   sample     group  bin
0  chr1   920000   925000    .  ...  190.0  EE87789  bileduct   92
1  chr1  1070000  1075000    .  ...  208.0  EE87789  bileduct  107
2  chr1  1165000  1170000    .  ...  233.0  EE87789  bileduct  116
3  chr1  1170000  1175000    .  ...  201.0  EE87789  bileduct  117
4  chr1  1175000  1180000    .  ...  218.0  EE87789  bileduct  117

[5 rows x 12 columns]
    sample       group chrom  bin        mean  median      stdev    min    max
0  EE85727  colorectal  chr1   92   85.500000    85.5  63.500000   22.0  149.0
1  EE85727  colorectal  chr1  107  133.500000   133.5   0.500000  133.0  134.0
2  EE85727  colorectal  chr1  116   -1.000000    -1.0  -1.000000   -1.0   -1.0
3  EE85727  colorectal  chr1  117  127.809524   129.5  24.377762   74.0  156.0
4  EE85727  colorectal  chr1  126  118.000000    85.0  37.229021   70.0  175.0
(1293232, 9)
    sample     group chrom  bin  wps_value  feature_name
0  EE87789  bileduct  chr1   92   0.051597   chr1_bin_92
1  EE87789  bileduct  chr1  107  -0.174507  chr1_bin_107
2  EE87789  bileduct  chr1  116  -0.384927  chr1_bin_116
3  EE87789  bileduct  chr1  117  -0.219504  chr1_bin_117
4  EE87789  bileduct  chr1  126  -0.313034  chr1_bin_126
    sample       group chrom  bin  ...      stdev    min    max  wps_value
0  EE85727  colorectal  chr1   92  ...  63.500000   22.0  149.0    -0.0422
1  EE85727  colorectal  chr1  107  ...   0.500000  133.0  134.0    -0.0906
2  EE85727  colorectal  chr1  116  ...  -1.000000   -1.0   -1.0     0.0000
3  EE85727  colorectal  chr1  117  ...  24.377762   74.0  156.0    -0.3084
4  EE85727  colorectal  chr1  126  ...  37.229021   70.0  175.0    -0.1290

[5 rows x 10 columns]
[BIN 10000 | 00_preprocessing_exploration.py] DONE in 4033.2s

[BIN 10000 | 01_blacklist.py] START
Original bins: 1122670
Filtered bins: 1116120
Removed bins: 6550
[BIN 10000 | 01_blacklist.py] DONE in 17.8s

[BIN 10000 | 02_gc_correction.py] START
Calculating GC-content…
    sample       group chrom  bin  ...  wps_value    start      end       GC
0  EE85727  colorectal  chr1   18  ...    -0.0422   900000   950000  0.63236
1  EE85727  colorectal  chr1   21  ...    -0.0906  1050000  1100000  0.62400
2  EE85727  colorectal  chr1   23  ...    -0.2056  1150000  1200000  0.59202
3  EE85727  colorectal  chr1   25  ...    -0.0867  1250000  1300000  0.60030
4  EE85727  colorectal  chr1   26  ...    -0.0538  1300000  1350000  0.64590

[5 rows x 13 columns]
Coverage columns to correct: ['mean', 'median', 'stdev', 'min', 'max', 'wps_value']
Processing sample: EE85727
Processing sample: EE85730
Processing sample: EE85731
Processing sample: EE85732
Processing sample: EE85733
Processing sample: EE85734
Processing sample: EE85737
Processing sample: EE85739
Processing sample: EE85741
Processing sample: EE85743
Processing sample: EE85746
Processing sample: EE85749
Processing sample: EE85750
Processing sample: EE85752
Processing sample: EE85753
Processing sample: EE85898
Processing sample: EE85904
Processing sample: EE85905
Processing sample: EE85908
Processing sample: EE85918
Processing sample: EE85928
Processing sample: EE85936
Processing sample: EE85937
Processing sample: EE85941
Processing sample: EE85959
Processing sample: EE85963
Processing sample: EE85970
Processing sample: EE85971
Processing sample: EE85980
Processing sample: EE85985
Processing sample: EE85987
Processing sample: EE85988
Processing sample: EE86234
Processing sample: EE86255
Processing sample: EE86259
Processing sample: EE86268
Processing sample: EE86270
Processing sample: EE86271
Processing sample: EE86272
Processing sample: EE86273
Processing sample: EE86275
Processing sample: EE86276
Processing sample: EE87789
Processing sample: EE87790
Processing sample: EE87791
Processing sample: EE87792
Processing sample: EE87793
Processing sample: EE87794
Processing sample: EE87795
Processing sample: EE87796
Processing sample: EE87797
Processing sample: EE87798
Processing sample: EE87799
Processing sample: EE87800
Processing sample: EE87801
Processing sample: EE87802
Processing sample: EE87803
Processing sample: EE87804
Processing sample: EE87805
Processing sample: EE87806
Processing sample: EE87807
Processing sample: EE87809
Processing sample: EE87810
Processing sample: EE87865
Processing sample: EE87866
Processing sample: EE87867
Processing sample: EE87868
Processing sample: EE87869
Processing sample: EE87870
Processing sample: EE87871
Processing sample: EE87872
Processing sample: EE87873
Processing sample: EE87874
Processing sample: EE87875
Processing sample: EE87876
Processing sample: EE87877
Processing sample: EE87878
Processing sample: EE87879
Processing sample: EE87880
Processing sample: EE87881
Processing sample: EE87882
Processing sample: EE87883
Processing sample: EE87884
Processing sample: EE87885
Processing sample: EE87886
Processing sample: EE87887
Processing sample: EE87888
Processing sample: EE87889
Processing sample: EE87890
Processing sample: EE87891
Processing sample: EE87896
Processing sample: EE87897
Processing sample: EE87898
Processing sample: EE87899
Processing sample: EE87900
Processing sample: EE87901
Processing sample: EE87902
Processing sample: EE87903
Processing sample: EE87904
Processing sample: EE87905
Processing sample: EE87906
Processing sample: EE87907
Processing sample: EE87908
Processing sample: EE87909
Processing sample: EE87910
Processing sample: EE87911
Processing sample: EE87912
Processing sample: EE87913
Processing sample: EE87914
Processing sample: EE87915
Processing sample: EE87916
Processing sample: EE87917
Processing sample: EE87918
Processing sample: EE87919
Processing sample: EE87920
Processing sample: EE87921
Processing sample: EE87922
Processing sample: EE87923
Processing sample: EE87924
Processing sample: EE87925
Processing sample: EE87926
Processing sample: EE87927
Processing sample: EE87928
Processing sample: EE87929
Processing sample: EE87931
Processing sample: EE87932
Processing sample: EE87933
